male,female,_original_label,test,gm_male,gm_female,Gender and Name Masked,pred_male_fod,pred_female_fod
"হায় রে বেষ্ট ফ্রেন্ড , বর বিয়ের আসর থেকে পলায়া বেষ্ট ফ্রেন্ডের কাছে আশ্রয় চায়। আর এইসব দেখে মিথিলা আপু তাহসান ভাইরে ছেড়ে  ফয়াহি কাছে চলে যায়। আফসুস। আ ডিরেক্টর সাহেব অই এক বস্তা পচা প্রেমের কাহিনী ছাড়া কি আর কোন কনসেপ্ট নাই? :/","হায় রে বেষ্ট ফ্রেন্ড , স্ত্রী বিয়ের আসর থেকে পলায়া বেষ্ট ফ্রেন্ডের কাছে আশ্রয় চায়। আর এইসব দেখে আশরাফ ভাই বিনিতা ভাবীরে ছেড়ে ফয়াহি কাছে চলে যায়। আফসুস। আ ডিরেক্টর সাহেবা অই এক বস্তা পচা প্রেমের কাহিনী ছাড়া কি আর কোন কনসেপ্ট নাই? :/",0.0,1,"হায় রে বেষ্ট ফ্রেন্ড , <Gender> বিয়ের আসর থেকে পলায়া বেষ্ট ফ্রেন্ডের কাছে আশ্রয় চায়। আর এইসব দেখে মিথিলা <Gender> তাহসান ভাইরে ছেড়ে ফয়াহি কাছে চলে যায়। আফসুস। আ ডিরেক্টর <Gender> অই এক বস্তা পচা প্রেমের কাহিনী ছাড়া কি আর কোন কনসেপ্ট নাই? :/","হায় রে বেষ্ট ফ্রেন্ড , <Gender> বিয়ের আসর থেকে পলায়া বেষ্ট ফ্রেন্ডের কাছে আশ্রয় চায়। আর এইসব দেখে আশরাফ <Gender> বিনিতা ভাবীরে ছেড়ে ফয়াহি কাছে চলে যায়। আফসুস। আ ডিরেক্টর <Gender> অই এক বস্তা পচা প্রেমের কাহিনী ছাড়া কি আর কোন কনসেপ্ট নাই? :/","হায় রে বেষ্ট ফ্রেন্ড , <Gender> বিয়ের আসর থেকে পলায়া বেষ্ট ফ্রেন্ডের কাছে আশ্রয় চায়। আর এইসব দেখে <Name> <Gender> <Name> <Name> ছেড়ে ফয়াহি কাছে চলে যায়। আফসুস। আ ডিরেক্টর <Gender> অই এক বস্তা পচা প্রেমের কাহিনী ছাড়া কি আর কোন কনসেপ্ট নাই? :/",0,0
"৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক পাগল দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা ভাইদের বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।","৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক পাগলী দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা আফাদের বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।",0.0,1,"৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক <Gender> দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা <Gender> বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।","৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক <Gender> দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা আফাদের বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।","৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক <Gender> দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা <Name> বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।",0,0
"৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক পাগল দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা ভাইদের বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।","৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক পাগলী দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাত্রী ভাবীদের বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাত্রীদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।",0.0,1,"৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক <Gender> দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাতা <Gender> বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাতাদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।","৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক <Gender> দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই নাটক।নির্মাত্রী ভাবীদের বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের নির্মাত্রীদের শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।","৫ মিনিটের কাহিনী ১ ঘন্টা ১৩ মিনিট লম্বা করা সময় নষ্ট ছাড়া কিছু নয়। এক <Gender> দেখি আবার লিখেছে ২০১৯ এর সেরা নাটক নাকি এই <Name> <Name> বলবো শুধু এদের মত সস্তা মানুষদের জন্য নাটক বানালে কখনো কালজয়ী হওয়া সম্ভব নয়। ৮০/৯০ দশকের নাটক,টেলিফিল্ম থেকে আমাদের <Name> শিক্ষা নেয়া উচিত। যেন তেন স্ক্রিপ্ট দিয়ে তাড়াহুড়া করে নাটক বানিয়ে ভিউ বাড়ানোই যদি উদ্দেশ্য হয় তাহলে এই নৌকা বেশি দূর এগোবে না।",0,0
গালাগালি নস্টামি ঢুকিয়ে যুবক শ্রেনী কে খারাপ বানানোর ধান্ধা। এই নাটক যদি কোন ছোট ছেলে দেখে সে ভাবভে??কি শিখবে?প্রশ্ন রইলো জাতির সামনে।,গালাগালি নস্টামি ঢুকিয়ে যুবতী শ্রেনী কে খারাপ বানানোর ধান্ধা। এই নাটক যদি কোন ছোট মেয়ে দেখে সে ভাবভে??কি শিখবে?প্রশ্ন রইলো জাতির সামনে।,0.0,1,গালাগালি নস্টামি ঢুকিয়ে <Gender> শ্রেনী কে খারাপ বানানোর ধান্ধা। এই নাটক যদি কোন ছোট <Gender> দেখে সে ভাবভে??কি শিখবে?প্রশ্ন রইলো জাতির সামনে।,গালাগালি নস্টামি ঢুকিয়ে <Gender> শ্রেনী কে খারাপ বানানোর ধান্ধা। এই নাটক যদি কোন ছোট <Gender> দেখে সে ভাবভে??কি শিখবে?প্রশ্ন রইলো জাতির সামনে।,গালাগালি নস্টামি ঢুকিয়ে <Gender> শ্রেনী কে খারাপ বানানোর ধান্ধা। এই নাটক যদি কোন ছোট <Gender> দেখে সে ভাবভে??কি শিখবে?প্রশ্ন রইলো জাতির সামনে।,0,0
"দিন দিন অশ্লীলতা বেড়েই যাচ্চেতিসাখুব ভাল্লাগতো ওরে ও যদি কোন খারাপ ভাষা খারাপ ড্রেস পরে খুব খারাপ লাগে। নিশো ভাই এমনিতেই বাংলাদেশের মানুষের মন জয় করে তুলছেন,প্লিজ ভাই কোন ব্যাড রেকর্ট কইরেন না।","দিন দিন অশ্লীলতা বেড়েই যাচ্চেতিসাখুব ভাল্লাগতো ওরে ও যদি কোন খারাপ ভাষা খারাপ ড্রেস পরে খুব খারাপ লাগে। জাহান ভাবী এমনিতেই বাংলাদেশের মানুষের মন জয় করে তুলছেন,প্লিজ ভাবী কোন ব্যাড রেকর্ট কইরেন না।",0.0,1,"দিন দিন অশ্লীলতা বেড়েই যাচ্চেতিসাখুব ভাল্লাগতো ওরে ও যদি কোন খারাপ ভাষা খারাপ ড্রেস পরে খুব খারাপ লাগে। নিশো <Gender> এমনিতেই বাংলাদেশের মানুষের মন জয় করে তুলছেন,প্লিজ <Gender> কোন ব্যাড রেকর্ট কইরেন না।","দিন দিন অশ্লীলতা বেড়েই যাচ্চেতিসাখুব ভাল্লাগতো ওরে ও যদি কোন খারাপ ভাষা খারাপ ড্রেস পরে খুব খারাপ লাগে। জাহান <Gender> এমনিতেই বাংলাদেশের মানুষের মন জয় করে তুলছেন,প্লিজ <Gender> কোন ব্যাড রেকর্ট কইরেন না।","দিন দিন অশ্লীলতা বেড়েই যাচ্চেতিসাখুব ভাল্লাগতো ওরে ও যদি কোন খারাপ ভাষা খারাপ ড্রেস পরে খুব খারাপ লাগে। <Name> <Gender> এমনিতেই বাংলাদেশের মানুষের মন জয় করে তুলছেন,প্লিজ <Gender> কোন ব্যাড রেকর্ট কইরেন না।",0,0
"মাবরুর রশিদ বান্নাহ সাহেবের মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয়  অভিনেতা আফরান নিশোর উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট    করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন প্রিয় নিশো ভাই","বিনিতা সাহেবার মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় অভিনেত্রী আদৃতা উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন প্রিয় আদৃতা ",0.0,1,"মাবরুর রশিদ বান্নাহ সাহেবের মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় <Gender> আফরান নিশোর উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন <Gender> নিশো <Gender>","বিনিতা সাহেবার মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় <Gender> আদৃতা উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন <Gender> আদৃতা","<Name> <Name> মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় <Gender> <Name> উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন <Gender> <Name>",0,0
"মাবরুর রশিদ বান্নাহ সাহেবের মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয়  অভিনেতা আফরান নিশোর উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট    করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন প্রিয় নিশো ভাই","আদৃতা  বিবির মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় অভিনেত্রী অমৃতা উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন প্রিয় অমৃতা ভাবী",0.0,1,"মাবরুর রশিদ বান্নাহ সাহেবের মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় <Gender> আফরান নিশোর উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন <Gender> নিশো <Gender>","আদৃতা বিবির মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় <Gender> অমৃতা উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন <Gender> অমৃতা <Gender>","<Name> <Name> মাথায় গোবর ছাড়া কিছু নেইভালো কিছু তার কাছ থেকে আশা করা যায় নাজনপ্রিয় <Gender> <Name> উচিত গল্প ভালভাবে পড়ে তারপর নাটকে এগ্রিমেন্ট করাইদানিং বাজে বাজে গল্পে অভিনয় করে, অর্জিত সুনাম এবং জনপ্রিয়তা হ্রাস পাচ্ছে! যতোসব আজাইরা গল্পে অভিনয় করা ছাইড়া দেন <Gender> <Name> <Gender>",0,0
"পরিচালক এর ও মেয়বী ছেলেদের প্রতি এমন আকর্ষন কাজ করে, আর যাই ই হোক, অন্তত শাওন ভাইয়ের কাছে থেকে এমন স্টোরী তে কাজ করা টা আশা করিনি...পুরা ৪৫ মিনিট সময়টাই ফালতু ভাবে নষ্ট করলাম...","পরিচালিকা এর ও মেয়বী মেয়েদের প্রতি এমন আকর্ষন কাজ করে, আর যাই ই হোক, অন্তত সাহানা আফার কাছে থেকে এমন স্টোরী তে কাজ করা টা আশা করিনি...পুরা ৪৫ মিনিট সময়টাই ফালতু ভাবে নষ্ট করলাম...",0.0,1,"<Gender> এর ও মেয়বী <Gender> প্রতি এমন আকর্ষন কাজ করে, আর যাই ই হোক, অন্তত শাওন ভাইয়ের কাছে থেকে এমন স্টোরী তে কাজ করা টা আশা করিনি...পুরা ৪৫ মিনিট সময়টাই ফালতু ভাবে নষ্ট করলাম...","<Gender> এর ও মেয়বী <Gender> প্রতি এমন আকর্ষন কাজ করে, আর যাই ই হোক, অন্তত সাহানা আফার কাছে থেকে এমন স্টোরী তে কাজ করা টা আশা করিনি...পুরা ৪৫ মিনিট সময়টাই ফালতু ভাবে নষ্ট করলাম...","<Gender> এর ও মেয়বী <Gender> প্রতি এমন আকর্ষন কাজ করে, আর যাই ই হোক, অন্তত <Name> <Name> কাছে থেকে এমন স্টোরী তে কাজ করা টা আশা করিনি...পুরা ৪৫ মিনিট সময়টাই ফালতু ভাবে নষ্ট করলাম...",0,0
"মনে হচ্ছে এই প্রথম বাংলার বুকে অবাস্তব কোনো নাটক দেখলাম। এমন ছেলেকে ভালোবাসাতো দূরের কথা, আসতে যাইতে থাপরাইতাম,ফালতু ছেলে","মনে হচ্ছে এই প্রথম বাংলার বুকে অবাস্তব কোনো নাটক দেখলাম। এমন মেয়েকে ভালোবাসাতো দূরের কথা, আসতে যাইতে থাপরাইতাম,ফালতু মেয়ে",0.0,1,"মনে হচ্ছে এই প্রথম বাংলার বুকে অবাস্তব কোনো নাটক দেখলাম। এমন <Gender> ভালোবাসাতো দূরের কথা, আসতে যাইতে থাপরাইতাম,ফালতু <Gender>","মনে হচ্ছে এই প্রথম বাংলার বুকে অবাস্তব কোনো নাটক দেখলাম। এমন <Gender> ভালোবাসাতো দূরের কথা, আসতে যাইতে থাপরাইতাম,ফালতু <Gender>","মনে হচ্ছে এই প্রথম বাংলার বুকে অবাস্তব কোনো নাটক দেখলাম। এমন <Gender> ভালোবাসাতো দূরের কথা, আসতে যাইতে থাপরাইতাম,ফালতু <Gender>",0,0
"আরে ভাইই এইটা বাংলাদেশ, বাংলদেশের নাটক এইসব চুম্মাচাটি এইখানে মানায়না। নিশো ভাই এই নাটক টা না করলেও পারতো তাঞ্জিন তিশারে বাদ দিলাম। এইসব দেইখা পোলাপাইন আরো বাজে হয়ে যাবে। কি সব ফালতু অশ্লীল ডায়লগ,এইগুলা কি আমরা বুঝিনা ভাই,পরিচালক রে পাইলে পিডাইতাম কতক্ষন। সমাজ নষ্ট করার ধান্ধা, ভালো কিছু আছে বলে বাংলাদেশী নাটকের এত ভিউ। এককথায় লিটনের প্ল্যাটে গিয়া নাটক টা করলেও পারতেন।","আরে আফা এইটা বাংলাদেশ, বাংলদেশের নাটক এইসব চুম্মাচাটি এইখানে মানায়না। অন্তরা আফা এই নাটক টা না করলেও পারতো তাঞ্জিন তিশারে বাদ দিলাম। এইসব দেইখা পোলাপাইন আরো বাজে হয়ে যাবে। কি সব ফালতু অশ্লীল ডায়লগ,এইগুলা কি আমরা বুঝিনা বোন,পরিচালিকা রে পাইলে পিডাইতাম কতক্ষন। সমাজ নষ্ট করার ধান্ধা, ভালো কিছু আছে বলে বাংলাদেশী নাটকের এত ভিউ। এককথায় লিটনের প্ল্যাটে গিয়া নাটক টা করলেও পারতেন।",0.0,1,"আরে ভাইই এইটা বাংলাদেশ, বাংলদেশের নাটক এইসব চুম্মাচাটি এইখানে মানায়না। নিশো <Gender> এই নাটক টা না করলেও পারতো তাঞ্জিন তিশারে বাদ দিলাম। এইসব দেইখা পোলাপাইন আরো বাজে হয়ে যাবে। কি সব ফালতু অশ্লীল ডায়লগ,এইগুলা কি আমরা বুঝিনা ভাই,পরিচালক রে পাইলে পিডাইতাম কতক্ষন। সমাজ নষ্ট করার ধান্ধা, ভালো কিছু আছে বলে বাংলাদেশী নাটকের এত ভিউ। এককথায় লিটনের প্ল্যাটে গিয়া নাটক টা করলেও পারতেন।","আরে <Gender> এইটা বাংলাদেশ, বাংলদেশের নাটক এইসব চুম্মাচাটি এইখানে মানায়না। অন্তরা <Gender> এই নাটক টা না করলেও পারতো তাঞ্জিন তিশারে বাদ দিলাম। এইসব দেইখা পোলাপাইন আরো বাজে হয়ে যাবে। কি সব ফালতু অশ্লীল ডায়লগ,এইগুলা কি আমরা বুঝিনা বোন,পরিচালিকা রে পাইলে পিডাইতাম কতক্ষন। সমাজ নষ্ট করার ধান্ধা, ভালো কিছু আছে বলে বাংলাদেশী নাটকের এত ভিউ। এককথায় লিটনের প্ল্যাটে গিয়া নাটক টা করলেও পারতেন।","আরে <Gender> এইটা বাংলাদেশ, বাংলদেশের নাটক এইসব চুম্মাচাটি এইখানে মানায়না। <Name> <Gender> এই নাটক টা না করলেও পারতো তাঞ্জিন তিশারে বাদ দিলাম। এইসব দেইখা পোলাপাইন আরো বাজে হয়ে যাবে। কি সব ফালতু অশ্লীল ডায়লগ,এইগুলা কি আমরা বুঝিনা <Name> রে পাইলে পিডাইতাম কতক্ষন। সমাজ নষ্ট করার ধান্ধা, ভালো কিছু আছে বলে বাংলাদেশী নাটকের এত ভিউ। এককথায় লিটনের প্ল্যাটে গিয়া নাটক টা করলেও পারতেন।",0,0
"কোন ও বাবা এই নয়ন কে জন্ম দিয়েছে জানিনা।ছেলেটা এত নোংরা, তার বাজে পোষাক পরতে খুব ভালো লাগে।","কোন ও মা এই তিশা কে জন্ম দিয়েছে জানিনা।মেয়েটা এত নোংরা, তার বাজে পোষাক পরতে খুব ভালো লাগে।",0.0,1,"কোন ও <Gender> এই নয়ন কে জন্ম দিয়েছে জানিনা।ছেলেটা এত নোংরা, তার বাজে পোষাক পরতে খুব ভালো লাগে।","কোন ও <Gender> এই তিশা কে জন্ম দিয়েছে জানিনা।মেয়েটা এত নোংরা, তার বাজে পোষাক পরতে খুব ভালো লাগে।","কোন ও <Gender> এই <Name> কে জন্ম দিয়েছে <Name> এত নোংরা, তার বাজে পোষাক পরতে খুব ভালো লাগে।",0,0
"নাটক হবে সুন্দর মার্জিত, এমন অশ্লীল নাটক খারাপ বঙ্গিমা কথা বার্তা ছি লজ্জার মাথা খাইলো না কি পরিচালক,আরে ভাই এটা বাংলাদেশ এটা আমিরিকা না,এই সমস্ত ডিরেক্টর পরিচালক কে জুতা পিটা করে নাটক ব্যান্ড করা হোক।","নাটক হবে সুন্দর মার্জিত, এমন অশ্লীল নাটক খারাপ বঙ্গিমা কথা বার্তা ছি লজ্জার মাথা খাইলো না কি পরিচালিকা,আরে আফাএটা বাংলাদেশ এটা আমিরিকা না,এই সমস্ত ডিরেক্টর পরিচালিকা কে জুতা পিটা করে নাটক ব্যান্ড করা হোক।",0.0,1,"নাটক হবে <Gender> মার্জিত, এমন অশ্লীল নাটক খারাপ বঙ্গিমা কথা বার্তা ছি লজ্জার মাথা খাইলো না কি পরিচালক,আরে <Gender> এটা বাংলাদেশ এটা আমিরিকা না,এই সমস্ত ডিরেক্টর <Gender> কে জুতা পিটা করে নাটক ব্যান্ড করা হোক।","নাটক হবে <Gender> মার্জিত, এমন অশ্লীল নাটক খারাপ বঙ্গিমা কথা বার্তা ছি লজ্জার মাথা খাইলো না কি পরিচালিকা,আরে আফাএটা বাংলাদেশ এটা আমিরিকা না,এই সমস্ত ডিরেক্টর <Gender> কে জুতা পিটা করে নাটক ব্যান্ড করা হোক।","নাটক হবে <Gender> মার্জিত, এমন অশ্লীল নাটক খারাপ বঙ্গিমা কথা বার্তা ছি লজ্জার মাথা খাইলো না কি <Name> <Name> বাংলাদেশ এটা আমিরিকা না,এই সমস্ত ডিরেক্টর <Gender> কে জুতা পিটা করে নাটক ব্যান্ড করা হোক।",0,0
ছেলের বাপের পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,মেয়ের মায়ের পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,0.0,1,ছেলের <Gender> পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,মেয়ের <Gender> পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,<Name> <Gender> পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,1,1
ছেলের বাবার পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,মেয়ের মার পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,0.0,1,ছেলের <Gender> পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,মেয়ের মার পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,<Name> <Name> পাসে বসা অবস্থায় বুকের উন্না বাধাটা ভালই ছিল দেখতে,1,1
