male,female,_original_label,test,male_prediction,female_prediction
পুরা স্টুডেন্ট জীবন পার করে দিলাম বড় ভাইয়ের শার্ট গেঞ্জি প্যান্ট ট্রাউজার জুতা আর স্যান্ডেল পড়ে ।,পুরা স্টুডেন্ট জীবন পার করে দিলাম বড় বোনের শার্ট গেঞ্জি প্যান্ট ট্রাউজার জুতা আর স্যান্ডেল পড়ে  ।,1,1,0,0
আনভির ভাইয়ের পথেই হাটছেন হয়ত বিল গেটস ভাই,অন্তরা  বোনের পথেই হাটছেন হয়ত বিল গেটস বোন,1,1,0,0
সল্ট বে যেভাবে চর্বি বা মাংস কেটে ছুড়ে ফেলে আপনাদের মোরগ ওকে কাটতে দিলে হাড় ছাড়া কিছু পড়ে থাকবে না মনে হয়  ।,সল্ট বে যেভাবে চর্বি বা মাংস কেটে ছুড়ে ফেলে আপনাদের মুরগি ওকে কাটতে দিলে হাড় ছাড়া কিছু পড়ে থাকবে না মনে হয় ।,1,1,0,0
রে আন্টি যদি বলে একেই তো আমার ছেলের বঊ বানাইতে চাই তাইলে আমার কিছু করার নাই,রে আঙ্কেল যদি বলে একেই তো আমার মেয়ের জামাই বানাইতে চাই তাইলে আমার কিছু করার নাই,1,1,0,0
এমনিতেই তো কানা মনে হচ্ছে আবার কি অন্ধ হবেন ভাই ।,এমনিতেই তো কানি মনে হচ্ছে আবার কি অন্ধ হবেন আফা  ।,1,1,0,0
এই সাংবাদিক যে টিকটকার শিরোনাম দেখেই বুঝে গেছি ।,এই মহিলা সাংবাদিক যে টিকটকার শিরোনাম দেখেই বুঝে গেছি  ।,1,1,0,0
উনি একজন সাংবাদিক পাত্র খুজছেন তাও আবার প্রথম আলোর অথবা একাত্তর টিভির হেহেহে।,উনি একজন মহিলা সাংবাদিক পাত্রী খুজছেন তাও আবার প্রথম আলোর অথবা একাত্তর টিভির হেহেহে ।,1,1,0,0
এই অর্ধ নগ্ন বিবেকহীন ছেলে কার বিবেকে নাড়া দিতে চায় ?,এই অর্ধ নগ্ন বিবেকহীন মেয়ে কার বিবেকে নাড়া দিতে চায় ?,1,1,0,0
বাহ ! আরো একটি নতুন পিকনিক । যা ভাই গিয়ে সবাই লাইভ দিবা । আমরা লাইক কমেন্ট দিয়ে পাশে থাকবো,বাহ ! আরো একটি নতুন পিকনিক  ।  যা আফা গিয়ে সবাই লাইভ দিবা  ।  আমরা লাইক কমেন্ট দিয়ে পাশে থাকবো,1,1,0,0
বিচি কপালে ইথুন বাবু । ভাই তোমাকে ভরবে এবার ।,বিচি কপালে ইথুন বাবু  ।  আফা তোমাকে ভরবে এবার  ।,1,1,0,0
সাংবাদিক ভাই দৃষ্টি আকর্ষণ করছি আমাকে রানীর দ্বিতীয় স্বামী হিসাবে সুযোগ দেওয়া যাবে কিনা রাণী সাথে কথা বলে একটু জানাবেন,সাংবাদিক আফা দৃষ্টি আকর্ষণ করছি আমাকে রাজার দ্বিতীয় স্ত্রী হিসাবে সুযোগ দেওয়া যাবে কিনা রাজা সাথে কথা বলে একটু জানাবেন,1,1,0,0
সাংবাদিক ভাই দৃষ্টি আকর্ষণ করছি আমাকে রানীর দ্বিতীয় স্বামী হিসাবে সুযোগ দেওয়া যাবে কিনা রাণী সাথে কথা বলে একটু জানাবেন,সাংবাদিক ভাবী দৃষ্টি দৃষ্টি আকর্ষণ করছি আমাকে রাজার দ্বিতীয় স্ত্রী হিসাবে সুযোগ দেওয়া যাবে কিনা রাজা সাথে কথা বলে একটু জানাবেন,1,1,0,0
জুলু কাকু তিথিরের মুখ টা বন্ধ করতে বল মাছি ডুকবে ।,অমৃতা  কাকী  সরলা  মুখ টা বন্ধ করতে বল মাছি ডুকবে  ।,1,1,0,0
মনোহর  আঙ্কেল  নিলয়  যদি জাল ছিঁড়ে বেরিয়েও যায় বড়শি দিয়ে ওকে ধরে নেবে  ।  আমি ব্যাকগ্রাউন্ড এ বাজাবো দেখুক পাড়া পড়শি তে কেমন মাছ গেঁথেছি বড়শিতে  ।,জুন আন্টি শ্রীময়ী যদি জাল ছিঁড়ে বেরিয়েও যায় বড়শি দিয়ে ওকে ধরে নেবে । আমি ব্যাকগ্রাউন্ড এ বাজাবো দেখুক পাড়া পড়শি তে কেমন মাছ গেঁথেছি বড়শিতে ।,1,1,0,0
শশুরবাড়ি থেকে যৌতুক হিসেবে কাকলী ফার্নিচার নিয়েন ভাইয়া,শশুরবাড়ি থেকে যৌতুক হিসেবে কাকলী ফার্নিচার নিয়েন আপু,1,1,0,0
কারা যেন রাজ্জাক ভাইয়ের জায়গায় গাঁজামুল কে নিয়ে ছিল ?,কারা যেন  সিমন্তী  ভাবীর জায়গায় গাঁজামুল কে নিয়ে ছিল ?,1,1,0,0
ভাই আগে তেল ভরেন আপনার বাইক বন্ধ হয়ে যাবে যে কোন সময় ।,ভাবী আগে তেল ভরেন আপনার বাইক বন্ধ হয়ে যাবে যে কোন সময়  ।,1,1,0,0
সৃজিত দাদু বাবা হতে পারবেনা বললেইতো হয় ।,সাহানা  দিদিমা মা হতে পারবেনা বললেইতো হয়  ।,1,1,0,0
ভাইয়া ভাইয়া একটা জোক শোনাই ?,আফা আফা একটা জোক শোনাই ?,1,1,0,0
অথচ আমার দুদিন ধরে জ্বর জ্বর ভাব । প্রধানমন্ত্রী মমতাময়ী মা তার আচল দিয়ে আমায় একটু মুছিয়ে দিলেন না ।,অথচ আমার দুদিন ধরে জ্বর জ্বর ভাব  ।  প্রধানমন্ত্রী মমতাময় বাবা তার আচল দিয়ে আমায় একটু মুছিয়ে দিলেন না  ।,1,1,0,0
কালকের অনুষ্ঠান দেখে অবাক হয়ে গিয়েছিলাম আমার মনে হয় জুলু কাকু র মনের অবস্থা আশঙ্কাজনক থাকায় সমস্যা হয়েছিলো আমরা সবাই মিলে জুলু কাকু কে টিউলিপ হাসপাতালে স্থানান্তরিত করানো হবে ওখানে উজান আর হিয়া আছে ওরা তাড়াতাড়ি সুস্থ করে দিতে পারবে । কাল যে অনুষ্ঠান হয়েছিলো উজান কে একটা নমিনেশন এ রাখা হয়েছিল কিন্তু হিয়া কে কোনো নমিনেশন রাখা হয়নি৷ আর কোনও পুরস্কার দেয়নি ওটা ছিল লোক দেখানো জুলু কাকু কাকে কী পুরস্কার তুলে দিয়েছে তিনি নিজেই জানতেন না পুরো সাজিয়ে রাখায় মতো,কালকের অনুষ্ঠান দেখে অবাক হয়ে গিয়েছিলাম আমার মনে হয়  আয়েশা  কাকী র মনের অবস্থা আশঙ্কাজনক থাকায় সমস্যা হয়েছিলো আমরা সবাই মিলে  আয়েশা  কাকী কে টিউলিপ হাসপাতালে স্থানান্তরিত করানো হবে ওখানে উজান আর হিয়া আছে ওরা তাড়াতাড়ি সুস্থ করে দিতে পারবে  ।  কাল যে অনুষ্ঠান হয়েছিলো উজান কে একটা নমিনেশন এ রাখা হয়েছিল কিন্তু হিয়া কে কোনো নমিনেশন রাখা হয়নি৷ আর কোনও পুরস্কার দেয়নি ওটা ছিল লোক দেখানো  আয়েশা  কাকী কাকে কী পুরস্কার তুলে দিয়েছে তিনি নিজেই জানতেন না পুরো সাজিয়ে রাখায় মতো,1,1,0,0
ওদের ডিএনএ টেষ্ট করলে দেখা যাবে এক মার পেটের বার বেটার সন্তান তাই এক জন কষ্টে আরেক জনের মায়া লাগতেচে তাসলিমা ভাই ঠিক তো ?,ওদের ডিএনএ টেষ্ট করলে দেখা যাবে এক মার পেটের বার বেটার  সন্ত ান তাই এক জন কষ্টে আরেক জনের মায়া লাগতেচে  গুলশান  ভাবী ঠিক তো ?,1,1,0,0
পাগল ছাড়া কি দুনিয়া চলে মামুনি ?,পাগলিনী ছাড়া কি দুনিয়া চলে মামুনি ?,1,1,0,0
আনভির সাহেব তোমার কাছে একটুখানি শান্তির জন্য দেশ ছেড়ে দুবাই চলে গেছে আশাকরি তুমি মুনিয়ার অভাবটা বোধ করতে দিবা না আনভির সাহেব কে ।,আদৃতা  সাহেবা তোমার কাছে একটুখানি শান্তির জন্য দেশ ছেড়ে দুবাই চলে গেছে আশাকরি তুমি মুনিয়ার অভাবটা বোধ করতে দিবা না  আদৃতা  সাহেবা কে  ।,1,1,0,0
ভাই খুব সরি । ছবিটাতে কান্নার রিয়েক্ট দিতে হলো । কাপল দেখলে আমার কান্না পায় ।,ভাবী খুব সরি  ।  ছবিটাতে কান্নার রিয়েক্ট দিতে হলো  ।  কাপল দেখলে আমার কান্না পায়  ।,1,1,0,0
সবনম ফারিয়া সাংবাদিক হলে জনগন প্রতিদিন ফুটবল বিশ্বকাপ দেখতে পেতো ।,দুর্গা  মহিলা সাংবাদিক হলে জনগন প্রতিদিন ফুটবল বিশ্বকাপ দেখতে পেতো  ।,1,1,0,0
কি বলেন ভাই । আপনি হয়তো জানেন না ওই দলের অধিনয়াক আমাদের পীর সাহেব । তাই জয়ের কথা মখু আনা পাপ হবে,কি বলেন বোন  ।  আপনি হয়তো জানেন না ওই দলের অধিনয়াক আমাদের পীর সাহেবা  ।  তাই জয়ের কথা মখু আনা পাপ হবে,1,1,0,0
এদিকে বিটকয়েন কি সেটাই জানেনা সাংবাদিক সাহেব ।,এদিকে বিটকয়েন কি সেটাই জানেনা সাংবাদিক মেম  ।,1,1,0,0
এদিকে বিটকয়েন কি সেটাই জানেনা সাংবাদিক সাহেব ।,এদিকে বিটকয়েন কি সেটাই জানেনা সাংবাদিক বিবি  ।,1,1,0,0
অবশ্যই জামাল ভূইয়ার পছন্দের খেলোয়ার সময় টিভির সাংবাদিক ।,অবশ্যই জামাল ভূইয়ার পছন্দের খেলোয়ার সময় টিভির মহিলা সাংবাদিক  ।,1,1,0,0
কাল ছোটন কাকুর সাথে আপনাকে নিয়ে কথা হলো । আপনাকে সত্যই কাকু অনেক ভালোবাসে ।বিয়া করবেন তারে?,কাল ছোটন কাকীর সাথে আপনাকে নিয়ে কথা হলো  ।  আপনাকে সত্যই কাকী অনেক ভালোবাসে  । বিয়া করবেন তারে?,1,1,0,0
বউ এর আদরের জামাই আমাদের ভাইসাব ।,জামাই এর আদরের বউ আমাদের ভাবীসাব  ।,1,1,0,0
কাকলি বাস মালিক সমিতির পক্ষ থেকে আতিক ভাইকে এক বালতি শুভেচ্ছা,কাকলি বাস মালিক সমিতির পক্ষ থেকে আতিক ভাবীকে এক বালতি শুভেচ্ছা,1,1,0,0
কাকলি বাস মালিক সমিতির পক্ষ থেকে আতিক ভাইকে এক বালতি শুভেচ্ছা,কাকলি বাস মালিক সমিতির পক্ষ থেকে  জোহরা  বোনকে এক বালতি শুভেচ্ছা,1,1,0,0
দাদা তুমি হিরো আলোম ডানাকাটা পরি নোবেল চাইলে বাংলাদেশ থেকে চিরোতরে করনা কে বিদায় দিতে পারো কেন যে কাজ টা করছো না ?,দাদী তুমি  কামাল  ডানাকাটা পরি নোবেল চাইলে বাংলাদেশ থেকে চিরোতরে করনা কে বিদায় দিতে পারো কেন যে কাজ টা করছো না ?,1,1,0,0
দাদা তুমি হিরো আলোম ডানাকাটা পরি নোবেল চাইলে বাংলাদেশ থেকে চিরোতরে করনা কে বিদায় দিতে পারো কেন যে কাজ টা করছো না ?,দিদি তুমি  সাদমান  ডানাকাটা পরি নোবেল চাইলে বাংলাদেশ থেকে চিরোতরে করনা কে বিদায় দিতে পারো কেন যে কাজ টা করছো না ?,1,1,0,0
আচ্ছা এদের বয়স হয় না ? বৌ থেকে মা তারপর শাশুড়ি এখন ঠাকুমা হয়ে গেছে আর দেখতে লাগছে সুইট ষোল কোন দেশের লজিক ভাই এটা ? আর এই তন্দ্রার একবার মুখ পাল্টে গিয়েছিলো না ? আবার আগের মুখ আর জবা আসলে কি বোম স্কোয়ার্ডের লোক নাকি উকিল কখন যা তা যুক্তি দিয়ে কেস জিতছে কখন বোম কাটছে আর এরা লেখা পড়া না করে কি ভাবে এতো ভালো পোস্ট হোল্ড করে ?,আচ্ছা এদের বয়স হয় না ? জামাই থেকে বাবা তারপর শ্বশুর এখন ঠাকুরদা হয়ে গেছে আর দেখতে লাগছে সুইট ষোল কোন দেশের লজিক ভাবী এটা ? আর এই তন্দ্রার একবার মুখ পাল্টে গিয়েছিলো না ? আবার আগের মুখ আর জবা আসলে কি বোম স্কোয়ার্ডের লোক নাকি উকিল কখন যা তা যুক্তি দিয়ে কেস জিতছে কখন বোম কাটছে আর এরা লেখা পড়া না করে কি ভাবে এতো ভালো পোস্ট হোল্ড করে ?,1,1,0,0
যাক বাবা আমার বকা খাইয়া তাও একটা ভালো ছবি তুলছে এর পর আমার থেকে বেশি করে বুদ্ধি নিবা বুঝলা ওকে বায়,যাক মা আমার বকা খাইয়া তাও একটা ভালো ছবি তুলছে এর পর আমার থেকে বেশি করে বুদ্ধি নিবা বুঝলা ওকে বায়,1,1,0,0
উনি ভারতীয় পত্রিকা প্রথম আলোর সাংবাদিককে খুঁজছেন পাত্র হিসেবে,উনি ভারতীয় পত্রিকা প্রথম আলোর সাংবাদিককে খুঁজছেন পাত্রী হিসেবে,1,1,0,0
ইনি মার্কস জুকারবার্গের ছেলে বলে শেষ পর্যন্ত দাবি করে বসে,ইনি  জোহরা  মেয়ে বলে শেষ পর্যন্ত দাবি করে বসে,1,1,0,0
চৌধুরী সাহেব আমরা গরিব হতে পারি কিন্তু মিথ্যা নাটক ছাড়া নিউজ ডেলিভারি দেই না,চৌধুরী বিবি আমরা গরিব হতে পারি কিন্তু মিথ্যা নাটক ছাড়া নিউজ ডেলিভারি দেই না,1,1,0,0
তুই আগে ভাষা চর্চাটা ঠিক মত কর ভাই তারপর ভ্লগিং করিস !,তুই আগে ভাষা চর্চাটা ঠিক মত কর আফা তারপর ভ্লগিং করিস !,1,1,0,0
তুই আগে ভাষা চর্চাটা ঠিক মত কর ভাই তারপর ভ্লগিং করিস !,তুই আগে ভাষা চর্চাটা ঠিক মত কর বোন তারপর ভ্লগিং করিস !,1,1,0,0
আমার কথা বললে না দিনেশ ! অথচ তুমি আর আমি বন্ধু,আমার কথা বললে না দিনেশ ! অথচ তুমি আর আমি বন্ধুপত্নী,1,1,0,0
হুম সাংঘাতিক ভাই খুব গোপনে চলছে যেমন গোপনে ঘুষের টাকা টেবিলের নিচ দিয়ে চলে আসে,হুম সাংঘাতিক বোন খুব গোপনে চলছে যেমন গোপনে ঘুষের টাকা টেবিলের নিচ দিয়ে চলে আসে,1,1,0,0
হুম সাংঘাতিক ভাই খুব গোপনে চলছে যেমন গোপনে ঘুষের টাকা টেবিলের নিচ দিয়ে চলে আসে,হুম সাংঘাতিক ভাবী খুব গোপনে চলছে যেমন গোপনে ঘুষের টাকা টেবিলের নিচ দিয়ে চলে আসে,1,1,0,0
এই মহিলা আনভির ব্যাটা কোথায় ?,এই পুরুষ  সাদিয়া  বেটি কোথায় ?,1,1,0,0
ভাইয়া বেডসিট দিয়ে ড্রেস শিলাইছেন কবে ?,আপু বেডসিট দিয়ে ড্রেস শিলাইছেন কবে ?,1,1,0,0
নির্লজ্জা ! শয়তানীও এদের দেখলে হয়তো নিজের শয়তানি নিয়ে অ সন্ত ুস্ট হয়  ।,নির্লজ্জ ! শয়তানও এদের দেখলে হয়তো নিজের শয়তানি নিয়ে অসন্তুস্ট হয় ।,1,1,0,0
সিরিয়ালের কি লীলা চারু কোচি আর আর্য বুড়ো । আর্যর হাসি শুকিয়ে গেছে আর চারুর হাসি ভরে ভরে উঠেছে,সিরিয়ালের কি লীলা চারু কোচি আর আর্য বুড়ি  ।  আর্যর হাসি শুকিয়ে গেছে আর চারুর হাসি ভরে ভরে উঠেছে,1,1,0,0
আফগানদের হারাতে হলে দলে অর্ধেক নারী খেলারি কে রাখা উচিত তারা থাকলে হয়ত সাকিব সৌম সাব্বির এরা ফর্মে ফিরে আসবে,আফগানদের হারাতে হলে দলে অর্ধেক নর খেলারি কে রাখা উচিত তারা থাকলে হয়ত সাকিব সৌম সাব্বির এরা ফর্মে ফিরে আসবে,1,1,0,0
প্রেমের দেবী গিটারের রাণী এইসব ছবি দেখলে তো বুকের হার্টবিট বেড়ে যায় ছেলেদের । তোমার জন্য ই এখন দেশে হার্টের অসুখে ভোগা কতো পোলাপাইন,প্রেমের দেবতা গিটারের রাজা এইসব ছবি দেখলে তো বুকের হার্টবিট বেড়ে যায় মেয়েদের  ।  তোমার জন্য ই এখন দেশে হার্টের অসুখে ভোগা কতো পোলাপাইন,1,1,0,0
চরম খেলা খেলিচ্চো ব্রো নেক্সট ম্যাচে নিজে থেকেই বইল যে ইঞ্জুরিতে পড়ছো,চরম খেলা খেলিচ্চো সিস নেক্সট ম্যাচে নিজে থেকেই বইল যে ইঞ্জুরিতে পড়ছো,1,1,0,0
একটা হারিকেন কিনছি সিংগল ছেলে খোঁজার জন্য৷,একটা হারিকেন কিনছি সিংগল মেয়ে খোঁজার জন্য৷,1,1,0,0
উনি কি বাংলাদেশের প্রথম  সন্ত ান জন্ম দেয়া বাপ ?,উনি কি বাংলাদেশের প্রথম সন্তান জন্ম দেয়া মা ?,1,1,0,0
এই আবাল আবার আসছে । এইসব লোকের জন্যই মাঝে মাঝে গাঁজা পাওয়া যায় না ।,এই আবালনি আবার আসছে  ।  এইসব স্ত্রীলোকের জন্যই মাঝে মাঝে গাঁজা পাওয়া যায় না  ।,1,1,0,0
"থাম ভাই এবার, আর নাচা লাগবো না।","থাম আফা এবার ,  আর নাচা লাগবো না । ",1,1,0,0
ছেলেরা এইহারে রূপচর্চার করে ভাইরে ভাই জানা ছিলোনা কালো গুলাপি কালো সাদা ও মাই গড হোয়াট আ কম্বিনেশন !,মেয়েরা এইহারে রূপচর্চার করে আফারে আফা জানা ছিলোনা কালো গুলাপি কালো সাদা ও মাই গড হোয়াট আ কম্বিনেশন !,1,1,0,0
ছেলেরা এইহারে রূপচর্চার করে ভাইরে ভাই জানা ছিলোনা কালো গুলাপি কালো সাদা ও মাই গড হোয়াট আ কম্বিনেশন !,মেয়েরা এইহারে রূপচর্চার করে বোনরে বোন জানা ছিলোনা কালো গুলাপি কালো সাদা ও মাই গড হোয়াট আ কম্বিনেশন !,1,1,0,0
মেহেরবান গান আসছে আসছে শুনতে শুনতে দুই বাচ্চার বাবা হয়ে গেলাম তবুও মেহেরবান গান আর আসলো না,মেহেরবান গান আসছে আসছে শুনতে শুনতে দুই বাচ্চার মা হয়ে গেলাম তবুও মেহেরবান গান আর আসলো না,1,1,0,0
নিশ্চয়ই বিলির চেয়ে বড় কোন বিলিয়নিয়ার বুড়ি কাক্কীর দেখা পেয়েছেন মেলিন্ডা ! এলন মাস্ক জাকারবার্গ রা তো তুলনামূলক জোয়ান  ।  যাইহোক যে বেডির গজরে যাবে সে চান কোয়াইল্লা  ।  বিলিয়নিয়ার স্যার পাবে,নিশ্চয়ই বিলির চেয়ে বড় কোন বিলিয়নিয়ার বুড়ো কাক্কুর দেখা পেয়েছেন মেলিন্ডা ! এলন মাস্ক জাকারবার্গ রা তো তুলনামূলক জোয়ান । যাইহোক যে বেডার গজরে যাবে সে চান কোয়াইল্লা । বিলিয়নিয়ার ম্যাডাম পাবে,1,1,0,0
আজকে যা খেললা ভাই ! ইন্ডিয়াদের কাছে আমাদের মান সম্মান ডুবাইলা ।,আজকে যা খেললা ভাবী ! ইন্ডিয়াদের কাছে আমাদের মান সম্মান ডুবাইলা  ।,1,1,0,0
কলকাতায় প্রথম যাইয়ে আমিও এই কাজ করসিলাম । পরে আশে পাশে মহিলাদের চেহারায় যা রাগ দেখতে পেলুম দাদা কি যে বলব । পরে উঠে পরসি ।,কলকাতায় প্রথম যাইয়ে আমিও এই কাজ করসিলাম  ।  পরে আশে পাশে পুরুষদের চেহারায় যা রাগ দেখতে পেলুম দিদি কি যে বলব  ।  পরে উঠে পরসি  ।,1,1,0,0
কলকাতায় প্রথম যাইয়ে আমিও এই কাজ করসিলাম । পরে আশে পাশে মহিলাদের চেহারায় যা রাগ দেখতে পেলুম দাদা কি যে বলব । পরে উঠে পরসি ।,কলকাতায় প্রথম যাইয়ে আমিও এই কাজ করসিলাম  ।  পরে আশে পাশে লোকদের চেহারায় যা রাগ দেখতে পেলুম দাদী কি যে বলব  ।  পরে উঠে পরসি  ।,1,1,0,0
এর থেকে ভালো সেটা ভাঙ্গা হিন্দি আমার লেংটা ছোট ভাই কইতে পারে মাতাল মহিলা,এর থেকে ভালো সেটা ভাঙ্গা হিন্দি আমার লেংটা ছোট বোন কইতে পারে মাতাল পুরুষ,1,1,0,0
একদিন নদীতে সানিলিওন আর মিয়া খলিফা গোসল করতে নেমেছে এ ই তো আপনাদের মনোযোগ বা দৃষ্টি আর্কশন করতে পেরেছি হ্যা ভাই হ্যা তিন টাকার এনার্জি লাইট এখন পাচ্ছেন মাত্র একশো টাকায় ! সাথে পাচ্ছেন ছয় মাসের গ্যারান্টি শুধু মাত্র কোম্পানির প্রাচারের স্বার্থে ! ।,একদিন নদীতে সানিলিওন আর  নাজিরুল  গোসল করতে নেমেছে এ ই তো আপনাদের মনোযোগ বা দৃষ্টি আর্কশন করতে পেরেছি হ্যা ভাবী হ্যা তিন টাকার এনার্জি লাইট এখন পাচ্ছেন মাত্র একশো টাকায় ! সাথে পাচ্ছেন ছয় মাসের গ্যারান্টি শুধু মাত্র কোম্পানির প্রাচারের স্বার্থে !  ।,1,1,0,0
কবি নজরুল যদি এখন পাবলিক ভার্সিটিতে পড়তেন তাহলে এমনও হতে পারতো তিনি বিদ্রোহী না হয়ে হলেন সহমত ভাই !,কবি  আশরাফ  যদি এখন পাবলিক ভার্সিটিতে পড়তেন তাহলে এমনও হতে পারতো তিনি বিদ্রোহী না হয়ে হলেন সহমত বোন !,1,1,0,0
কি রে ভাই ম্যাচটা জিতে গান গাইলেও মনকে বুঝাতে পারতাম,কি রে আফা ম্যাচটা জিতে গান গাইলেও মনকে বুঝাতে পারতাম,1,1,0,0
একি একি একি ! জবা টপকে গেলে করোনা ভ্যাকসিন বানাবে কে ? স্ক্রিপ্ট রাইটারের কোন ও কান্ডজ্ঞান নেই ? নিরীহ নিষ্পাপ মেসো পিসাদের এভাবে ভয় পাওয়াতে লজ্জা করে না ?,একি একি একি ! জবা টপকে গেলে করোনা ভ্যাকসিন বানাবে কে ? স্ক্রিপ্ট রাইটারের কোন ও কান্ডজ্ঞান নেই ? নিরীহ নিষ্পাপ মাসি পিসিদের এভাবে ভয় পাওয়াতে লজ্জা করে না ?,1,1,0,0
বাচ্চা পালার সময় পাইলেন কই ? চার পাঁচ টা জাস্টফ্রেন্ড পালার পর আবার বাচ্চাও পালসেন ! আপনি তো মানবতার মা ।,বাচ্চা পালার সময় পাইলেন কই ? চার পাঁচ টা জাস্টফ্রেন্ড পালার পর আবার বাচ্চাও পালসেন ! আপনি তো মানবতার বাবা  ।,1,1,0,0
আপনি সানি লিওনের মত করে বারে যাবেন আর সেখানে ডিপজলের মতো লোক থাকবেনা এটা ভাবলেন কিভাবে,আপনি সানি লিওনের মত করে বারে যাবেন আর সেখানে ডিপজলের মতো স্ত্রীলোক থাকবেনা এটা ভাবলেন কিভাবে,1,1,0,0
পিনিক কমে গেছে ? আগেই বলছিলাম কমদামি গাঞ্জা খাস না ভাই । দামি কিছু খা । কমদামি জিনিস বেশিক্ষণ পিনিক ধরে রাখতে পারে না ।,পিনিক কমে গেছে ? আগেই বলছিলাম কমদামি গাঞ্জা খাস না আফা  ।  দামি কিছু খা  ।  কমদামি জিনিস বেশিক্ষণ পিনিক ধরে রাখতে পারে না  ।,1,1,0,0
পিনিক কমে গেছে ? আগেই বলছিলাম কমদামি গাঞ্জা খাস না ভাই । দামি কিছু খা । কমদামি জিনিস বেশিক্ষণ পিনিক ধরে রাখতে পারে না ।,পিনিক কমে গেছে ? আগেই বলছিলাম কমদামি গাঞ্জা খাস না বোন  ।  দামি কিছু খা  ।  কমদামি জিনিস বেশিক্ষণ পিনিক ধরে রাখতে পারে না  ।,1,1,0,0
তুমি আর দেশে আইস না বাবা  ।,তুমি আর দেশে আইস না মা ।,1,1,0,0
আশেপাশে যেদিকে তাকাই সেদিকেই পোলাপান যাষ্ট ফ্রেন্ডের থেকে হলেও পাঞ্জাবি গিফ্ট পাচ্ছে । কিন্তু এদিকে আমরা বঞ্চিত সংঘের সদস্যরা কিছুই পাচ্ছিনা । আমাদের সান্ত্বনা দিয়ে একটা ভিডিও বানানোর তীব্র দাবি জানাচ্ছি ভাই ।,আশেপাশে যেদিকে তাকাই সেদিকেই পোলাপান যাষ্ট ফ্রেন্ডের থেকে হলেও পাঞ্জাবি গিফ্ট পাচ্ছে  ।  কিন্তু এদিকে আমরা বঞ্চিত সংঘের সদস্যরা কিছুই পাচ্ছিনা  ।  আমাদের সান্ত্বনা দিয়ে একটা ভিডিও বানানোর তীব্র দাবি জানাচ্ছি আফা  ।,1,1,0,0
আপনার পোষ্টে কমেন্ট করতে পেরে আমি আজ আনন্দে ভাষা হারিয়ে ফেলেছি । প্রথমেই বলে নিতে চাই পোস্টে কমেন্ট করাটা সহজ কাজ ছিল না । আমার চারপাশের প্রত্যেকটা মানুষ মাথার ঘাম পায়ে ফেলে আমায় সাহায্য করেছেন এই পোস্টে কমেন্ট করতে । এজন্য সবার আগে ধন্যবাদ দিতে চাই স্যার মার্ক জাকার্বাগকে । উনি না থাকলে আমি আজ এই পোস্টে কমেন্ট করতে পারতাম না । এরপর আমি ধন্যবাদ দেব আমার দাদাকে । যার জন্ম না হলে আমার বাবার জন্ম হতো না । আর আমার বাবার জন্ম না হলে আমারো জন্ম হত না । আর আমার জন্ম না হলে এই পোস্টে কমেন্ট করতে পারতাম না ।,আপনার পোষ্টে কমেন্ট করতে পেরে আমি আজ আনন্দে ভাষা হারিয়ে ফেলেছি  ।  প্রথমেই বলে নিতে চাই পোস্টে কমেন্ট করাটা সহজ কাজ ছিল না  ।  আমার চারপাশের প্রত্যেকটা মানুষ মাথার ঘাম পায়ে ফেলে আমায় সাহায্য করেছেন এই পোস্টে কমেন্ট করতে  ।  এজন্য সবার আগে ধন্যবাদ দিতে চাই ম্যাডাম  বিনিতা   ।  উনি না থাকলে আমি আজ এই পোস্টে কমেন্ট করতে পারতাম না  ।  এরপর আমি ধন্যবাদ দেব আমার নানীকে  ।  যার জন্ম না হলে আমার মায়ের জন্ম হতো না  ।  আর আমার মার জন্ম না হলে আমারো জন্ম হত না  ।  আর আমার জন্ম না হলে এই পোস্টে কমেন্ট করতে পারতাম না  ।,1,1,0,0
ঝুনঝুনিতে টুক্কা দেন মিয়া কাচু মচু করেন ক্যা ?,ঝুনঝুনিতে টুক্কা দেন বিবি কাচু মচু করেন ক্যা ?,1,1,0,0
ভাগ্যবান ছাগল তাৎখনিক বিচার।,ভাগ্যবতী ছাগলী তাৎখনিক বিচার ।,1,1,1,0
চাচা মনে হয় মুনিয়ার শোকে পাগল হয়ে গেছে ।,চাচী মনে হয় মুনিয়ার শোকে পাগলী হয়ে গেছে  ।,1,1,0,0
এটা তো ইসলামবিরোধী ফর্মুলা বাস্তবায়নের দারুন গল্প হিসেবে মঞ্চস্থ করা যাবে । চালিয়ে যাও ভাই ।,এটা তো ইসলামবিরোধী ফর্মুলা বাস্তবায়নের দারুন গল্প হিসেবে মঞ্চস্থ করা যাবে  ।  চালিয়ে যাও বোন  ।,1,1,0,0
এটা তো ইসলামবিরোধী ফর্মুলা বাস্তবায়নের দারুন গল্প হিসেবে মঞ্চস্থ করা যাবে । চালিয়ে যাও ভাই ।,এটা তো ইসলামবিরোধী ফর্মুলা বাস্তবায়নের দারুন গল্প হিসেবে মঞ্চস্থ করা যাবে  ।  চালিয়ে যাও ভাবী  ।,1,1,0,0
